INFO: ChannelWidth 80, Arch_filename "/home/alex/Documents/EPFL/PARSA/VTR8_S/vtr_flow/arch/timing/k6_frac_N10_frac_chain_mem32K_40nm.xml"
INFO: Total: SegmentTypes 1, Channels 2, Delta_xs 20, Delta_ys 20

SegTypeId 0 (unnamed_segment_0, length 4) Chan 0
0, 0 : 7.247e-11, 3.33711e-11
0, 1 : 1.47757e-10, 1.73881e-10
0, 2 : 7.247e-11, 3.33711e-11
0, 3 : 7.247e-11, 3.33711e-11
0, 4 : 7.247e-11, 3.33711e-11
0, 5 : 7.247e-11, 3.33711e-11
0, 6 : 7.247e-11, 3.33711e-11
0, 7 : 2.10213e-10, 1.73881e-10
0, 8 : 2.10213e-10, 1.73881e-10
0, 9 : 2.1132e-10, 1.73881e-10
0, 10 : 2.86607e-10, 3.14391e-10
0, 11 : 3.46848e-10, 3.14391e-10
0, 12 : 3.25302e-10, 3.14391e-10
0, 13 : 3.49062e-10, 3.14391e-10
0, 14 : 4.24349e-10, 4.54901e-10
0, 15 : 4.85698e-10, 4.54901e-10
0, 16 : 4.85698e-10, 4.54901e-10
0, 17 : 4.85698e-10, 4.54901e-10
0, 18 : 5.61869e-10, 5.95411e-10
0, 19 : 7.9344e-10, 8.76431e-10
1, 0 : 1.47757e-10, 1.73881e-10
1, 1 : 1.65339e-10, 1.73881e-10
1, 2 : 1.47757e-10, 2.09009e-10
1, 3 : 1.47757e-10, 2.09009e-10
1, 4 : 1.66297e-10, 1.73881e-10
1, 5 : 1.66297e-10, 1.73881e-10
1, 6 : 1.66297e-10, 1.73881e-10
1, 7 : 2.855e-10, 3.49519e-10
1, 8 : 3.04999e-10, 3.14391e-10
1, 9 : 3.05147e-10, 3.14391e-10
1, 10 : 3.09426e-10, 3.14391e-10
1, 11 : 4.23243e-10, 4.90029e-10
1, 12 : 4.08194e-10, 4.54901e-10
1, 13 : 4.44807e-10, 4.54901e-10
1, 14 : 4.5381e-10, 4.54901e-10
1, 15 : 5.60985e-10, 6.30539e-10
1, 16 : 5.736e-10, 5.95411e-10
1, 17 : 5.81442e-10, 5.95411e-10
1, 18 : 6.02771e-10, 5.95411e-10
1, 19 : 8.11621e-10, 8.76431e-10
2, 0 : 1.66297e-10, 1.73881e-10
2, 1 : 1.86452e-10, 1.73881e-10
2, 2 : 1.86452e-10, 2.09009e-10
2, 3 : 1.86452e-10, 2.09009e-10
2, 4 : 1.88518e-10, 1.73881e-10
2, 5 : 1.88518e-10, 1.73881e-10
2, 6 : 1.87485e-10, 1.73881e-10
2, 7 : 3.08171e-10, 3.49519e-10
2, 8 : 3.2626e-10, 3.14391e-10
2, 9 : 3.27367e-10, 3.14391e-10
2, 10 : 3.29581e-10, 3.14391e-10
2, 11 : 4.48127e-10, 4.90029e-10
2, 12 : 4.25325e-10, 4.54901e-10
2, 13 : 4.66143e-10, 4.54901e-10
2, 14 : 4.70644e-10, 4.54901e-10
2, 15 : 5.88084e-10, 6.30539e-10
2, 16 : 6.01746e-10, 5.95411e-10
2, 17 : 6.02778e-10, 5.95411e-10
2, 18 : 6.20637e-10, 5.95411e-10
2, 19 : 8.43803e-10, 8.76431e-10
3, 0 : 1.87485e-10, 1.73881e-10
3, 1 : 2.10213e-10, 2.09009e-10
3, 2 : 2.10213e-10, 2.09009e-10
3, 3 : 2.10213e-10, 2.09009e-10
3, 4 : 2.1132e-10, 1.73881e-10
3, 5 : 2.12427e-10, 1.73881e-10
