INFO: ChannelWidth 160, Arch_filename "/home/alex/Documents/EPFL/PARSA/VTR8_S/vtr_flow/arch/timing/k6_frac_N10_frac_chain_mem32K_40nm.xml"
INFO: Total: SegmentTypes 1, Channels 2, Delta_xs 30, Delta_ys 30

SegTypeId 0 (unnamed_segment_0, length 4) Chan 0
0, 0 : 7.247e-11, 3.35026e-11
0, 1 : 1.48641e-10, 2.09832e-10
0, 2 : 7.247e-11, 3.35026e-11
0, 3 : 7.247e-11, 3.35026e-11
0, 4 : 7.247e-11, 3.35026e-11
0, 5 : 7.247e-11, 3.35026e-11
0, 6 : 7.247e-11, 3.35026e-11
0, 7 : 2.09106e-10, 1.74566e-10
0, 8 : 2.09106e-10, 1.74566e-10
0, 9 : 2.10213e-10, 1.74566e-10
0, 10 : 2.855e-10, 3.15629e-10
0, 11 : 3.47955e-10, 3.15629e-10
0, 12 : 3.47955e-10, 3.15629e-10
0, 13 : 3.50169e-10, 3.15629e-10
0, 14 : 4.44658e-10, 4.56693e-10
0, 15 : 4.83484e-10, 4.56693e-10
0, 16 : 4.63119e-10, 4.56693e-10
0, 17 : 4.90126e-10, 4.56693e-10
0, 18 : 5.83508e-10, 5.97756e-10
0, 19 : 6.23441e-10, 5.97756e-10
0, 20 : 6.23441e-10, 5.97756e-10
0, 21 : 6.27869e-10, 5.97756e-10
0, 22 : 7.03156e-10, 7.3882e-10
0, 23 : 7.6229e-10, 7.3882e-10
0, 24 : 7.6229e-10, 7.3882e-10
0, 25 : 7.67825e-10, 7.3882e-10
0, 26 : 8.58993e-10, 8.79883e-10
0, 27 : 8.97819e-10, 8.79883e-10
0, 28 : 8.80775e-10, 8.79883e-10
0, 29 : 1.12014e-09, 1.16201e-09
1, 0 : 1.47757e-10, 1.74566e-10
1, 1 : 1.47757e-10, 2.09832e-10
1, 2 : 1.47757e-10, 2.09832e-10
1, 3 : 1.47757e-10, 2.09832e-10
1, 4 : 1.66297e-10, 2.09832e-10
1, 5 : 1.87485e-10, 1.74566e-10
1, 6 : 1.87485e-10, 1.74566e-10
1, 7 : 2.88598e-10, 3.50895e-10
1, 8 : 3.06254e-10, 3.15629e-10
1, 9 : 3.2626e-10, 3.50895e-10
1, 10 : 3.07212e-10, 3.15629e-10
1, 11 : 4.29216e-10, 4.91959e-10
1, 12 : 4.27447e-10, 4.56693e-10
1, 13 : 4.65258e-10, 4.56693e-10
1, 14 : 4.47169e-10, 4.56693e-10
1, 15 : 5.62976e-10, 6.33022e-10
1, 16 : 5.44453e-10, 5.97756e-10
1, 17 : 6.07355e-10, 5.97756e-10
1, 18 : 5.87125e-10, 5.97756e-10
1, 19 : 7.08022e-10, 7.74086e-10
1, 20 : 7.06254e-10, 7.3882e-10
1, 21 : 7.40595e-10, 7.74086e-10
1, 22 : 7.27082e-10, 7.3882e-10
1, 23 : 8.47979e-10, 8.79883e-10
1, 24 : 8.61504e-10, 8.79883e-10
1, 25 : 8.85054e-10, 8.79883e-10
1, 26 : 8.67039e-10, 8.79883e-10
1, 27 : 9.86828e-10, 1.02095e-09
1, 28 : 9.62109e-10, 1.02095e-09
1, 29 : 1.1305e-09, 1.16201e-09
